,TIME,NZ,NY
0,HH:MM:SS.FFF,G's,G's
740, 00:04:58.313,,
741, 00:04:58.375,1.00781,-0.00781
742, 00:04:58.438,,
743, 00:04:58.500,1.00781,-0.00684
744, 00:04:58.563,,
745, 00:04:58.625,1.00781,-0.00684
746, 00:04:58.688,,
747, 00:04:58.750,1.01172,-0.00391
748, 00:04:58.813,,
749, 00:04:58.875,1.00586,-0.00684
750, 00:04:58.938,,
751, 00:04:59.000,1.00781,-0.00391
752, 00:04:59.063,,
753, 00:04:59.125,1.01172,-0.00684
754, 00:04:59.188,,
755, 00:04:59.250,1.00586,-0.00488
756, 00:04:59.313,,
757, 00:04:59.375,1.00977,-0.00391
758, 00:04:59.438,,
759, 00:04:59.500,1.00781,-0.00488
760, 00:04:59.563,,
761, 00:04:59.625,1.00781,-0.00977
762, 00:04:59.688,,
763, 00:04:59.750,1.00977,-0.01172
764, 00:04:59.813,,
765, 00:04:59.875,1.00977,-0.00781
766, 00:04:59.938,,
767, 00:05:00.000,1.00977,-0.00781
768, 00:05:00.063,,
769, 00:05:00.125,1.00781,-0.00977
770, 00:05:00.188,,
771, 00:05:00.250,1.00781,-0.00488
772, 00:05:00.313,,
773, 00:05:00.375,1.00781,-0.00684
774, 00:05:00.438,,
775, 00:05:00.500,1.00781,-0.01172
776, 00:05:00.563,,
777, 00:05:00.625,1.01172,-0.00391
778, 00:05:00.688,,
779, 00:05:00.750,1.00781,-0.00391
780, 00:05:00.813,,
781, 00:05:00.875,1.00977,-0.00684
782, 00:05:00.938,,
783, 00:05:01.000,1.01172,-0.00391
784, 00:05:01.063,,
785, 00:05:01.125,1.00781,-0.00781
786, 00:05:01.188,,
787, 00:05:01.250,1.01172,-0.00684
788, 00:05:01.313,,
789, 00:05:01.375,1.00977,-0.00781
790, 00:05:01.438,,
